message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=5.836118, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.394413055";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.835005, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.353221583";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.833892, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.303862520";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.832778, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.257457046";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.383479, y=-0.029307])";"30";"turtlesim2.sim";"1759221804.242272263";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.396328, y=-0.029307])";"30";"turtlesim2.sim";"1759221804.204417221";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.437457])";"30";"turtlesim1.sim";"1759221804.172529646";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.831665, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.188619353";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.409178, y=-0.029307])";"30";"turtlesim2.sim";"1759221804.154840680";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.830552, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.148499261";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.441542])";"30";"turtlesim1.sim";"1759221804.131148257";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.422027, y=-0.029307])";"30";"turtlesim2.sim";"1759221804.122663475";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.829439, y=-0.031981])";"30";"turtlesim3.sim";"1759221804.093587820";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.434877, y=-0.029307])";"30";"turtlesim2.sim";"1759221804.069362568";"./src/turtle.cpp:update:288"
